identifica,xCentroid,yCentroid
"0344100000002403",131967.594,456149.510
"0344100000005001",132035.662,456089.228
"0344100000004766",132019.459,456140.804
"0344100000004767",132013.902,456140.788
"0344100000008280",132019.461,456168.808
"0344100000008281",132013.875,456168.907
"0344100000009279",131997.533,456160.284
"0344100000009318",132030.261,456140.800
"0344100000010294",131926.268,456160.293
"0344100000015457",132035.598,456117.208
"0344100000015458",132041.240,456117.204
"0344100000015066",132041.228,456140.802
"0344100000015068",132035.695,456168.808
"0344100000016772",131967.598,456160.302
"0344100000020175",131997.533,456154.872
"0344100000023883",131997.535,456149.479
"0344100000023045",132035.661,456140.802
"0344100000023055",132046.626,456168.810
"0344100000024884",132041.094,456168.808
"0344100000026545",131997.521,456144.081
"0344100000026546",131997.518,456138.472
"0344100000030348",131926.264,456103.317
"0344100000032917",131997.506,456103.304
"0344100000032172",131967.570,456097.943
"0344100000039568",131928.657,456168.392
"0344100000038285",132030.262,456168.808
"0344100000041094",132030.263,456089.227
"0344100000040623",131997.507,456108.706
"0344100000041238",131967.572,456103.316
"0344100000044905",131940.769,456170.973
"0344100000042760",132024.861,456168.808
"0344100000044663",131928.636,456116.806
"0344100000046109",131926.267,456144.089
"0344100000046110",131926.263,456138.484
"0344100000047907",131953.061,456138.665
"0344100000047908",131965.217,456141.280
"0344100000044833",131953.049,456087.069
"0344100000044834",131965.212,456089.706
"0344100000045793",131926.256,456097.897
"0344100000048770",131967.573,456114.113
"0344100000049292",131926.259,456092.500
"0344100000049293",131926.260,456086.907
"0344100000053078",131967.604,456154.898
"0344100000052338",131997.514,456119.620
"0344100000054603",131926.268,456154.891
"0344100000057390",131997.511,456114.096
"0344100000055514",132019.468,456117.225
"0344100000056059",131967.576,456119.646
"0344100000054737",132024.869,456117.218
"0344100000054350",131926.260,456108.715
"0344100000057665",131967.600,456165.708
"0344100000060456",131967.571,456108.715
"0344100000059621",131940.750,456119.395
"0344100000061924",131999.970,456168.418
"0344100000067145",132041.217,456089.224
"0344100000068065",131926.268,456149.495
"0344100000071397",132019.474,456089.226
"0344100000071398",132013.907,456089.224
"0344100000072575",132024.862,456140.801
"0344100000078361",131997.508,456097.903
"0344100000076750",131967.602,456171.236
"0344100000078806",132013.904,456117.233
"0344100000081529",132024.864,456089.226
"0344100000079338",132030.198,456117.210
"0344100000081828",131997.505,456092.499
"0344100000081829",131997.508,456086.889
"0344100000086427",132023.144,456152.499
"0344100000086428",132021.171,456152.518
"0344100000087681",132028.562,456105.533
"0344100000087682",132026.594,456105.551
"0344100000086247",131944.509,456101.577
"0344100000086248",131944.516,456099.597
"0344100000086304",131949.280,456167.315
"0344100000086322",132007.801,456101.498
"0344100000086362",131948.574,456099.032
"0344100000086363",131950.320,456099.032
"0344100000088426",132007.940,456137.241
"0344100000090468",131949.240,456104.968
"0344100000090469",131949.248,456106.944
"0344100000091132",132007.872,456110.362
"0344100000091133",132007.855,456112.332
"0344100000089255",131949.245,456115.760
"0344100000089851",131943.537,456159.035
"0344100000089852",131945.286,456159.038
"0344100000093399",131944.549,456090.756
"0344100000094413",131944.622,456151.124
"0344100000094414",131944.623,456153.099
"0344100000096550",131939.901,456107.469
"0344100000096551",131941.652,456107.476
"0344100000102877",131940.036,456159.037
"0344100000101565",132014.204,456152.153
"0344100000101255",132017.820,456105.547
"0344100000101256",132014.222,456105.895
"0344100000105195",131948.609,456150.543
"0344100000105232",132007.887,456156.527
"0344100000105233",132007.869,456158.502
"0344100000106499",132037.378,456105.534
"0344100000106500",132039.342,456105.507
"0344100000104346",131949.278,456158.497
"0344100000104347",131949.278,456156.522
"0344100000109234",131949.270,456172.945
"0344100000111551",131944.626,456085.101
"0344100000111127",131950.358,456150.546
"0344100000111984",132023.157,456157.114
"0344100000111985",132021.184,456157.133
"0344100000114116",132012.041,456157.127
"0344100000114171",131952.108,456150.543
"0344100000114172",131953.858,456150.546
"0344100000115148",132015.763,456100.946
"0344100000115149",132017.727,456100.926
"0344100000116545",132007.928,456120.773
"0344100000116568",132007.886,456147.669
"0344100000116569",132007.898,456145.694
"0344100000116595",131949.199,456121.370
"0344100000118913",131945.151,456107.489
"0344100000119036",132042.773,456157.116
"0344100000116328",132028.540,456100.921
"0344100000116329",132026.572,456100.939
"0344100000119679",132007.890,456094.145
"0344100000119680",132007.866,456096.120
"0344100000121403",132031.955,456152.515
"0344100000121404",132033.928,456152.496
"0344100000120296",131944.619,456142.719
"0344100000120297",131944.618,456140.744
"0344100000125899",132007.926,456085.671
"0344100000126578",132043.081,456152.502
"0344100000130002",131943.402,456107.483
"0344100000128089",132037.360,456100.929
"0344100000128090",132039.331,456100.916
"0344100000130966",132031.977,456157.114
"0344100000130967",132033.951,456157.111
"0344100000128787",131941.786,456159.040
"0344100000134510",131948.643,456188.315
"0344100000134511",131948.715,456199.364
"0344100000134512",131948.703,456197.392
"0344100000134513",131947.123,456208.492
"0344100000134514",131967.573,456195.634
"0344100000134515",131967.572,456201.034
"0344100000134516",131967.574,456206.617
"0344100000134517",131997.512,456206.615
"0344100000134518",131997.516,456201.041
"0344100000134519",131997.518,456195.641
"0344100000134520",131997.518,456190.088
"0344100000134521",132013.359,456188.324
"0344100000134522",132013.306,456199.359
"0344100000134523",132013.302,456197.384
"0344100000134524",132013.517,456208.482
"0344100000134526",132023.115,456204.533
"0344100000134527",132031.938,456204.540
"0344100000134528",132033.909,456204.537
"0344100000134529",132042.738,456204.530
"0344100000134525",132021.139,456204.537
"0344100000134530",132044.716,456204.529
"0344100000134531",132053.880,456206.094
"0344100000134532",132019.701,456192.450
"0344100000134533",132025.688,456192.462
"0344100000134534",132031.088,456192.463
"0344100000134535",132036.488,456192.463
"0344100000134536",132041.888,456192.462
"0344100000134537",132047.288,456192.462
"0344100000134538",132052.432,456192.468
"0344100000135158",131952.068,456099.032
"0344100000135159",131953.816,456099.032
"0344100000139436",131927.782,456192.642
"0344100000139437",131926.575,456198.151
"0344100000139438",131926.502,456203.582
"0344100000139439",131926.505,456208.982
"0344100000139440",131926.561,456214.404
"0344100000139441",131927.754,456219.782
"0344100000139442",131927.727,456225.363
"0344100000139443",131943.959,456194.520
"0344100000139444",131943.969,456196.517
"0344100000139445",131944.044,456223.530
"0344100000139446",131949.049,456223.538
"0344100000139447",131966.046,456225.358
"0344100000139448",131966.017,456219.782
"0344100000139449",131967.205,456214.258
"0344100000139450",131999.022,456225.379
"0344100000139451",131997.933,456219.831
"0344100000139452",131999.080,456214.253
"0344100000139453",131944.032,456218.107
"0344100000139454",131944.019,456216.113
"0344100000139455",131944.002,456207.320
"0344100000139456",131943.985,456205.327
"0344100000139457",131949.028,456218.172
"0344100000139458",131949.044,456216.197
"0344100000139459",132010.249,456223.539
"0344100000139460",132011.647,456218.121
"0344100000139461",132011.648,456216.121
"0344100000139462",132016.501,456221.325
"0344100000139463",132021.777,456221.338
"0344100000139464",132026.877,456221.334
"0344100000139465",132031.977,456221.333
"0344100000139466",132037.077,456221.333
"0344100000139467",132042.177,456221.333
"0344100000139468",132047.277,456221.331
"0344100000139469",132052.377,456221.330
"0344100000139470",132057.650,456221.317
"0344100000139471",132018.216,456209.134
"0344100000139472",132020.216,456209.132
"0344100000139473",132028.423,456209.122
"0344100000139474",132030.423,456209.134
"0344100000139475",132038.634,456209.130
"0344100000139476",132040.634,456209.140
"0344100000139477",132045.776,456209.112
"0344100000139478",132053.957,456209.196
"0344100000139480",132065.942,456222.790
"0344100000139481",132065.942,456220.790
"0344100000139482",132063.927,456209.123
"0344100000139483",132061.935,456209.105
"0344100000139484",132057.933,456195.777
"0344100000139485",132057.938,456193.775
"0344100000139486",132081.368,456220.844
"0344100000139487",132079.311,456214.708
"0344100000139488",132077.668,456209.524
"0344100000139489",132076.083,456204.319
"0344100000139490",132075.669,456198.802
"0344100000139491",132073.637,456192.509
"0344100000139492",132052.464,456168.673
"0344100000139493",132052.463,456166.671
"0344100000139494",132050.972,456156.609
"0344100000139495",132050.971,456154.607
"0344100000139496",132047.085,456144.015
"0344100000139497",132047.084,456142.013
"0344100000139498",132066.682,456168.636
"0344100000139499",132066.423,456162.216
"0344100000139500",132064.200,456157.140
"0344100000139501",132064.278,456151.597
"0344100000139502",132062.135,456146.470
"0344100000139503",132061.073,456140.455
"0344100000139504",132047.080,456116.070
"0344100000139505",132047.090,456114.081
"0344100000139506",132045.604,456103.623
"0344100000139507",132045.605,456101.622
"0344100000139508",132047.067,456091.950
"0344100000139509",132047.056,456089.950
"0344100000139522",132059.986,456117.917
"0344100000139523",132060.907,456111.854
"0344100000139524",132061.409,456106.304
"0344100000139525",132062.069,456100.778
"0344100000139526",132061.643,456095.073
"0344100000139527",132062.913,456089.066
"0344100000139528",132045.591,456152.987
"0344100000139787",132009.502,456173.024
"0344100000143263",132055.972,456206.103
"0344100000134509",131966.227,456190.173
